path,module_type,cve,rank,disclosure_date
metasploit-framework/modules/auxiliary/admin/2wire/xslt_password_reset.rb,auxiliary,CVE-2007-4387,,2007-08-15
metasploit-framework/modules/auxiliary/admin/android/google_play_store_uxss_xframe_rce.rb,auxiliary,CVE-2014-6041,,
metasploit-framework/modules/auxiliary/admin/appletv/appletv_display_image.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/appletv/appletv_display_video.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/atg/atg_client.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/aws/aws_launch_instances.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/backupexec/dump.rb,auxiliary,CVE-2005-2611,,
metasploit-framework/modules/auxiliary/admin/backupexec/registry.rb,auxiliary,CVE-2005-0771,,
metasploit-framework/modules/auxiliary/admin/chromecast/chromecast_reset.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/chromecast/chromecast_youtube.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/citrix/citrix_netscaler_config_decrypt.rb,auxiliary,,,2022-05-19
metasploit-framework/modules/auxiliary/admin/db2/db2rcmd.rb,auxiliary,CVE-2004-0795,,2004-03-04
metasploit-framework/modules/auxiliary/admin/dcerpc/cve_2020_1472_zerologon.rb,auxiliary,CVE-2020-1472,,
metasploit-framework/modules/auxiliary/admin/dcerpc/cve_2022_26923_certifried.rb,auxiliary,CVE-2022-26923,,
metasploit-framework/modules/auxiliary/admin/dcerpc/esc_update_ldap_object.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/dcerpc/icpr_cert.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/dcerpc/samr_account.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/dns/dyn_dns_update.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/edirectory/edirectory_dhost_cookie.rb,auxiliary,CVE-2009-4655,,
metasploit-framework/modules/auxiliary/admin/edirectory/edirectory_edirutil.rb,auxiliary,CVE-2008-0926,,
metasploit-framework/modules/auxiliary/admin/emc/alphastor_devicemanager_exec.rb,auxiliary,CVE-2008-2157,,2008-05-27
metasploit-framework/modules/auxiliary/admin/emc/alphastor_librarymanager_exec.rb,auxiliary,CVE-2008-2157,,2008-05-27
metasploit-framework/modules/auxiliary/admin/firetv/firetv_youtube.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/hp/hp_data_protector_cmd.rb,auxiliary,CVE-2011-0923,,2011-02-07
metasploit-framework/modules/auxiliary/admin/hp/hp_ilo_create_admin_account.rb,auxiliary,CVE-2017-12542,,2017-08-24
metasploit-framework/modules/auxiliary/admin/hp/hp_imc_som_create_account.rb,auxiliary,CVE-2013-4824,,2013-10-08
metasploit-framework/modules/auxiliary/admin/http/allegro_rompager_auth_bypass.rb,auxiliary,CVE-2014-9222,,2014-12-17
metasploit-framework/modules/auxiliary/admin/http/arris_motorola_surfboard_backdoor_xss.rb,auxiliary,CVE-2015-0964; CVE-2015-0965; CVE-2015-0966,,2015-04-08
metasploit-framework/modules/auxiliary/admin/http/atlassian_confluence_auth_bypass.rb,auxiliary,CVE-2023-22515,,2023-10-04
metasploit-framework/modules/auxiliary/admin/http/axigen_file_access.rb,auxiliary,CVE-2012-4940,,2012-10-31
metasploit-framework/modules/auxiliary/admin/http/cfme_manageiq_evm_pass_reset.rb,auxiliary,CVE-2013-2050,,Nov 12 2013
metasploit-framework/modules/auxiliary/admin/http/cisco_ios_xe_cli_exec_cve_2023_20198.rb,auxiliary,CVE-2023-20198,,2023-10-16
metasploit-framework/modules/auxiliary/admin/http/cisco_ios_xe_os_exec_cve_2023_20273.rb,auxiliary,CVE-2023-20198; CVE-2023-20273,,2023-10-16
metasploit-framework/modules/auxiliary/admin/http/cisco_ssm_onprem_account.rb,auxiliary,CVE-2024-20419,,2024-07-20
metasploit-framework/modules/auxiliary/admin/http/cnpilot_r_cmd_exec.rb,auxiliary,CVE-2017-5259,,
metasploit-framework/modules/auxiliary/admin/http/cnpilot_r_fpt.rb,auxiliary,CVE-2017-5261,,
metasploit-framework/modules/auxiliary/admin/http/contentkeeper_fileaccess.rb,auxiliary,CVE-2009-10005,,
metasploit-framework/modules/auxiliary/admin/http/dlink_dir_300_600_exec_noauth.rb,auxiliary,CVE-2013-10069,,2013-02-04
metasploit-framework/modules/auxiliary/admin/http/dlink_dir_645_password_extractor.rb,auxiliary,,,
metasploit-framework/modules/auxiliary/admin/http/dlink_dsl320b_password_extractor.rb,auxiliary,,,
